id;SiteName;regione;Longitude;Latitude;Elevation;regione2
toscana_204;Vallelunga;toscana;10.337689;43.971328;688;Toscana
toscana_27;Monte Di Fo';toscana;11.280845;44.079632;792;Toscana
toscana_28;Mangona;toscana;11.197975;44.051395;552;Toscana
trentino_6509;Centa;trentino;11.234123;45.970184;815;Trentino
trentino_6512;Bieno;trentino;11.553742;46.079537;806;Trentino
trentino_6528;Mezzana;trentino;10.795807;46.313429;905;Trentino
trentino_6529;Male';trentino;10.916104;46.355098;735;Trentino
trentino_6564;Sant'orsola;trentino;11.3022;46.107105;930;Trentino
trentino_6576;Ronchi Di Ala;trentino;11.065345;45.739264;692;Trentino
trentino_6603;Forte D'ampola;trentino;10.646264;45.863908;725;Trentino
trentino_6609;Spormaggiore;trentino;11.047544;46.212402;655;Trentino
trentino_6615;Romeno;trentino;11.118834;46.390724;958;Trentino
trentino_6640;Cavalese (Meteotrentino);trentino;11.451794;46.284762;958;Trentino
trentino_6954;San Lorenzo In Banale (Pergole;trentino;10.911055;46.066522;690;Trentino
umbria_1090;Armenzano;umbria;12.702;43.072;614;Umbria
umbria_1480;Carestello;umbria;12.534;43.286;494;Umbria
umbria_4510;La_cima;umbria;12.122;43.234;694;Umbria
umbria_792;Casa_castalda;umbria;12.659;43.18;663;Umbria
umbria_794;San_benedetto_vecchio;umbria;12.464;43.437;679;Umbria
valledaosta_110;Aosta - Mont-Fleury;valledaosta;7.29903;45.7305;577;Valle D'aosta
valledaosta_115;Donnas - Clapey;valledaosta;7.76643;45.5966;341;Valle D'aosta
veneto_5680;Agordo;veneto;12.03251;46.27609;588;Veneto
veneto_5683;Sospirolo;veneto;12.07977;46.14025;363;Veneto
abruzzo_2;Teramo;abruzzo;13.71722222;42.65472222;264;Abruzzo
abruzzo_2258;Sulmona;abruzzo;13.91444444;42.06861111;365;Abruzzo
basilicata_2;Torre Accio;basilicata;16.6539;40.3925;21;Basilicata
calabria_107;Crotone - Papanice;calabria;17.02777778;39.0725;118;Calabria
calabria_108;Crotone;calabria;17.13111111;39.08694444;1;Calabria
calabria_111;Crotone - Salica;calabria;17.12611111;39.01222222;145;Calabria
calabria_112;Isola Di Capo Rizzuto - Campolongo;calabria;17.0088;38.94305556;151;Calabria
calabria_121;San Mauro Marchesato;calabria;16.92888889;39.10444444;212;Calabria
calabria_140;Catanzaro;calabria;16.58583333;38.91083333;315;Calabria
calabria_177;Monasterace - Punta Stilo;calabria;16.55222222;38.45361111;64;Calabria
calabria_18;Torano Scalo;calabria;16.21;39.49388889;93;Calabria
calabria_196;Gioiosa Ionica;calabria;16.32972222;38.30111111;18;Calabria
calabria_2;Cosenza;calabria;16.26527778;39.28694444;269;Calabria
calabria_20;Tarsia;calabria;16.27277778;39.61722222;203;Calabria
calabria_202;Antonimina;calabria;16.18055556;38.25972222;126;Calabria
calabria_208;Plati';calabria;16.04444444;38.22222222;329;Calabria
calabria_213;Sant'agata Del Bianco;calabria;16.08533333;38.10075;310;Calabria
calabria_215;Staiti;calabria;16.0355;37.99986111;369;Calabria
calabria_217;Capo Spartivento;calabria;16.05613889;37.92727778;61;Calabria
calabria_233;Reggio Calabria;calabria;15.65094444;38.10786111;72;Calabria
calabria_246;Scilla;calabria;15.71972222;38.25166667;60;Calabria
calabria_255;Santa Cristina D'aspromonte;calabria;15.96472222;38.25694444;448;Calabria
calabria_26;Castrovillari;calabria;16.25416667;39.76555556;199;Calabria
calabria_265;Cittanova;calabria;16.0775;38.35222222;407;Calabria
calabria_28;Castrovillari - Camerata;calabria;16.27191667;39.73308333;63;Calabria
calabria_284;Feroleto Della Chiesa;calabria;16.06833333;38.46805556;180;Calabria
calabria_290;Mileto;calabria;16.064808;38.613861;328;Calabria
calabria_34;San Sosti;calabria;16.02805556;39.66444444;384;Calabria
calabria_345;Paola;calabria;16.04208333;39.36727778;282;Calabria
calabria_348;Cetraro Superiore;calabria;15.96408333;39.535055560000004;417;Calabria
calabria_380;Villapiana Scalo;calabria;16.49861111;39.795;0;Calabria
calabria_60;Cropalati;calabria;16.72444444;39.51583333;321;Calabria
calabria_71;Ciro' Marina - Punta Alice;calabria;17.12611111;39.38416667;8;Calabria
campania_14;Benevento;campania;14.76222222;41.14194444;117.5702285766602;Campania
campania_33;Grazzanise;campania;14.10527778;41.0925;12.9779176712036;Campania
campania_54;Paduli;campania;14.83472222;41.14805556;139.4526672363281;Campania
campania_56;Persano Sele;campania;15.0325;40.54416667;20.1688442230225;Campania
campania_76;S.mauro;campania;14.63222222;40.76388889;40.6466827392578;Campania
campania_77;S.pietro;campania;14.78694444;40.81833333;204.2464141845703;Campania
campania_9;Auletta;campania;15.42805556;40.55166667;245.9533996582031;Campania
lazio_240;Roma Macao;lazio;12.5072;41.9039;56;Lazio
lazio_273;Marta A Tarquinia;lazio;11.7425;42.2569;50;Lazio
lazio_276;Civitavecchia;lazio;11.7853;42.0967;7;Lazio
lazio_278;Bracciano;lazio;12.175;42.1019;214;Lazio
lazio_283;Poggio Mirteto;lazio;12.6953;42.27;353;Lazio
lazio_285;Ardea;lazio;12.5369;41.6117;22;Lazio
lazio_289;Latina;lazio;12.9058;41.4714;17;Lazio
lazio_330;Rocca Respampani;lazio;11.9289;42.3839;149;Lazio
lazio_333;Collegio Romano;lazio;12.4806;41.8986;19;Lazio
lazio_334;Frascati;lazio;12.6714;41.8097;245;Lazio
lazio_375;Roma Monte Mario;lazio;12.4356;41.9356;111;Lazio
lazio_384;Riano;lazio;12.5039;42.1014;171;Lazio
liguria_5870;Imperia;liguria;8.01694;43.8789;60;Liguria
liguria_5889;Molino Branca;liguria;8.21083;44.0481;6;Liguria
liguria_5926;Sanremo;liguria;7.78625;43.822694;45;Liguria
liguria_5933;Sarzana;liguria;9.965278;44.114722;26;Liguria
liguria_5934;Savona Istituto Nautico;liguria;8.484083;44.307111;28;Liguria
marche_19;Servigliano;marche;13.498032;43.085857;197;Marche
marche_25;Ascoli Piceno;marche;13.651516;42.852242;78;Marche
puglia_10;Avetrana;puglia;17.71722;40.33389;80;Puglia
puglia_102;Ortanova;puglia;15.70028;41.31722;84;Puglia
puglia_104;Ostuni;puglia;17.56694;40.73389;115;Puglia
puglia_105;Otranto;puglia;18.48417;40.15028;27;Puglia
puglia_11;Bari_(Facolta_dingegneria);puglia;16.87778;41.10639;23;Puglia
puglia_111;Polignano_a_mare;puglia;17.21667;40.98361;50;Puglia
puglia_112;Presicce;puglia;18.26667;39.88389;105;Puglia
puglia_118;Ruvo_di_puglia;puglia;16.48361;41.10083;274;Puglia
puglia_12;Bari_(Osservatorio);puglia;16.87167;41.11722;34;Puglia
puglia_120;San_giorgio_jonico;puglia;17.3675;40.45028;86;Puglia
puglia_126;San_pietro_vernotico;puglia;18.00083;40.4675;49;Puglia
puglia_127;San_samuele_di_cafiero;puglia;16.05917;41.26889;45;Puglia
puglia_128;San_severo;puglia;15.38333;41.68389;99;Puglia
puglia_13;Bari_(Ufficio_idrografico);puglia;16.88194;41.11972;17;Puglia
puglia_130;Santa_maria_di_leuca;puglia;18.35;39.78417;26;Puglia
puglia_133;San_vito_dei_normanni;puglia;17.70028;40.65028;121;Puglia
puglia_137;Talsano;puglia;17.26694;40.40056;37;Puglia
puglia_138;Taranto;puglia;17.25028;40.46417;27;Puglia
puglia_139;Taviano;puglia;18.08361;39.9675;65;Puglia
puglia_14;Barletta;puglia;16.20028;41.30056;30;Puglia
puglia_144;Turi;puglia;17.01667;40.90083;268;Puglia
puglia_147;Vieste;puglia;16.16694;41.8675;33;Puglia
puglia_148;Vignacastrisi;puglia;18.4;40.00056;99;Puglia
puglia_22;Brindisi;puglia;17.91722;40.63389;22;Puglia
puglia_23;Cagnano_varano;puglia;15.80028;41.83361;181;Puglia
puglia_27;Canosa_di_puglia;puglia;16.10056;41.21694;116;Puglia
puglia_30;Casamassima;puglia;16.91667;40.95028;229;Puglia
puglia_31;Cassano_murge;puglia;16.76667;40.88361;380;Puglia
puglia_34;Castellaneta;puglia;16.9175;40.61722;236;Puglia
puglia_38;Cerignola;puglia;15.90028;41.25056;134;Puglia
puglia_42;Corato;puglia;16.40056;41.15;249;Puglia
puglia_5;Andria;puglia;16.28417;41.21806;162;Puglia
puglia_50;Fasano;puglia;17.35028;40.83361;118;Puglia
puglia_51;Foggia_(Ist._Sper.le_colture_foragg.);puglia;15.46806;41.46667;85;Puglia
puglia_52;Foggia_(Osservatorio);puglia;15.54306;41.46167;94;Puglia
puglia_56;Gallipoli;puglia;17.99444;40.05444;31;Puglia
puglia_58;Ginosa_marina;puglia;16.88472;40.43361;15;Puglia
puglia_61;Grottaglie;puglia;17.43361;40.53361;165;Puglia
puglia_62;Grumo_appula;puglia;16.71806;40.98472;202;Puglia
puglia_65;Latiano;puglia;17.70056;40.55;114;Puglia
puglia_66;Lavello;puglia;15.795;41.05056;328;Puglia
puglia_67;Lecce;puglia;18.16667;40.35028;51;Puglia
puglia_68;Lesina;puglia;15.35;41.85056;17;Puglia
puglia_69;Lizzano;puglia;17.43417;40.38389;71;Puglia
puglia_72;Lucera;puglia;15.33333;41.50056;224;Puglia
puglia_73;Maglie;puglia;18.28389;40.10083;102;Puglia
puglia_74;Manduria;puglia;17.63444;40.36806;81;Puglia
puglia_75;Manfredonia-Bonifica_sipontina;puglia;15.88;41.58306;2;Puglia
puglia_77;Massafra;puglia;17.10056;40.58361;113;Puglia
puglia_82;Masseria_monteruga;puglia;17.81722;40.33389;92;Puglia
puglia_84;Masseria_s._Chiara;puglia;16.13333;41.33361;10;Puglia
puglia_87;Mercadante;puglia;16.7;40.88389;395;Puglia
puglia_88;Minervino_di_lecce;puglia;18.41667;40.08361;104;Puglia
puglia_97;Nardo;puglia;18.03333;40.16694;54;Puglia
sicilia_11805;Trapani;sicilia;12.506774;38.013603;2;Sicilia
sicilia_11810;Birgi Nuovo;sicilia;12.495327;37.883963;21;Sicilia
sicilia_11812;Marsala;sicilia;12.456187;37.810158;5;Sicilia
sicilia_11813;Mazara Del Vallo;sicilia;12.599055;37.656656;8;Sicilia
sicilia_11825;Sciacca;sicilia;13.126871;37.511873;110;Sicilia
sicilia_11831;Diga Castello;sicilia;13.408301;37.580671;264;Sicilia
sicilia_11832;Bivona;sicilia;13.438949;37.61914;554;Sicilia
sicilia_11843;Agrigento;sicilia;13.588111;37.303537;212;Sicilia
sicilia_11845;Canicattã¬;sicilia;13.849812;37.357789;456;Sicilia
sicilia_11858;Licata;sicilia;13.932402;37.098433;48;Sicilia
sicilia_11860;Comunelli Diga;sicilia;14.150239;37.155767;78;Sicilia
sicilia_11882;Caltagirone;sicilia;14.517966;37.239686;428;Sicilia
sicilia_11883;Mineo;sicilia;14.690246;37.264436;459;Sicilia
sicilia_11887;Linguaglossa;sicilia;15.144488;37.839333;512;Sicilia
sicilia_11888;Acireale;sicilia;15.165228;37.620461;184;Sicilia
sicilia_11889;Catania Istituto Dagraria;sicilia;15.071749;37.517405;102;Sicilia
sicilia_11898;Messina Istituto Geofisico;sicilia;15.554106;38.200472;31;Sicilia
sicilia_11933;Ciminna;sicilia;13.559357;37.891796;467;Sicilia
sicilia_11942;Palermo Osservatorio Astronomico;sicilia;13.350685;38.109161;27;Sicilia
toscana_238;Seravezza 2;toscana;10.223503;43.992815;127;Toscana
toscana_239;Ponte Tavole;toscana;10.18483;43.972565;7;Toscana
bolzano_23;Diga Di Gioveretto Osservatore;bolzano;10.72507183;46.50906285;1896;Bolzano
piemonte_5630;Lago Agnel;piemonte;7.14;45.469;2326;Piemonte
trentino_6525;Careser (Diga);trentino;10.699326;46.42264;2600;Trentino
trentino_6543;Paganella;trentino;11.037444;46.143291;2125;Trentino
trentino_6546;Passo Rolle;trentino;11.787638;46.297214;1995;Trentino
trentino_6547;Passo Valles;trentino;11.799764;46.338417;2032;Trentino
trentino_6585;Pradalago Rifugio Agostini;trentino;10.813874;46.249712;2084;Trentino
valledaosta_20;Courmayeur - Mont De La Saxe;valledaosta;6.98204;45.817;2076;Valle D'aosta
valledaosta_47;Pré-Saint-Didier - Plan Praz;valledaosta;6.95245;45.7549;2044;Valle D'aosta
aeronautica_6810;Pescara;abruzzo;14.199999999999998;42.43299999999999;11;Abruzzo
aeronautica_6865;Monte Scuro;calabria;16.4;39.33299999999999;1720;Calabria
aeronautica_6863;Bonifati;calabria;15.882999999999997;39.583;485;Calabria
aeronautica_6867;Crotone;calabria;17.067000000000004;38.99999999999999;161;Calabria
aeronautica_6870;Lamezia Terme;calabria;16.25;38.900000000000006;15;Calabria
aeronautica_6882;Reggio Calabria;calabria;15.649999999999993;38.066999999999986;21;Calabria
aeronautica_6836;Trevico;campania;15.233000000000002;41.05;1093;Campania
aeronautica_6827;Grazzanise;campania;14.067;41.05;10;Campania
aeronautica_6844;Napoli/Capodichino;campania;14.3;40.85;72;Campania
aeronautica_6847;Capri;campania;14.199999999999998;40.550000000000004;161;Campania
aeronautica_6850;Capo Palinuro;campania;15.283;40.016999999999996;185;Campania
aeronautica_6720;Piacenza;emilia-romagna;9.733;44.917;138;Emilia Romagna
aeronautica_6762;Ferrara;emilia-romagna;11.617;44.83299999999999;10;Emilia Romagna
aeronautica_6763;Bologna/Borgo Panig;emilia-romagna;11.300000000000002;44.532999999999994;49;Emilia Romagna
aeronautica_6766;Punta Marina;emilia-romagna;12.3;44.45;6;Emilia Romagna
aeronautica_6768;Cervia;emilia-romagna;12.3;44.21699999999999;10;Emilia Romagna
aeronautica_6769;Rimini;emilia-romagna;12.617;44.033;13;Emilia Romagna
aeronautica_6735;Ronchi Dei Legionar;friuli venezia giulia;13.483;45.817;12;Friuli Venezia Giulia
aeronautica_6736;Trieste;friuli venezia giulia;13.75;45.65;20;Friuli Venezia Giulia
aeronautica_6697;Tarvisio;friuli venezia giulia;13.582999999999998;46.499999999999986;778;Friuli Venezia Giulia
aeronautica_6694;Aviano;friuli venezia giulia;12.6;46.033;128;Friuli Venezia Giulia
aeronautica_6700;Udine/Rivolto;friuli venezia giulia;13.033;45.98299999999999;53;Friuli Venezia Giulia
aeronautica_6797;Viterbo;lazio;12.05;42.43299999999999;308;Lazio
aeronautica_6803;Vigna Di Valle;lazio;12.217;42.083;266;Lazio
aeronautica_6795;Civitavecchia;lazio;11.833;42.033;4;Lazio
aeronautica_6814;Guidonia;lazio;12.733000000000002;42.00000000000001;89;Lazio
aeronautica_6815;Roma/Urbe;lazio;12.5;41.949999999999996;24;Lazio
aeronautica_6817;Roma/Ciampino;lazio;12.582999999999998;41.783;105;Lazio
aeronautica_6819;Roma Fiumicino;lazio;12.233;41.79999999999999;3;Lazio
aeronautica_6820;Latina;lazio;12.9;41.54999999999998;26;Lazio
aeronautica_6821;Frosinone;lazio;13.3;41.63299999999999;185;Lazio
aeronautica_6822;Pratica Di Mare;lazio;12.45;41.64999999999999;21;Lazio
aeronautica_6841;Ponza;lazio;12.949999999999996;40.91700000000001;185;Lazio
aeronautica_6747;Albenga;liguria;8.117;44.04999999999998;49;Liguria
aeronautica_6750;Sarzana/Luni;liguria;9.983;44.08299999999999;10;Liguria
aeronautica_6771;Capo Mele;liguria;8.167;43.95;221;Liguria
aeronautica_6711;Milano/Malpensa;lombardia;8.733;45.61699999999999;211;Lombardia
aeronautica_6717;Bergamo/Orio Al Ser;lombardia;9.7;45.667;237;Lombardia
aeronautica_6718;Milano/Linate;lombardia;9.283;45.433;103;Lombardia
aeronautica_6721;Brescia/Ghedi;lombardia;10.282999999999998;45.417;97;Lombardia
aeronautica_6787;Falconara;marche;13.367;43.617;10;Marche
aeronautica_6782;Frontone;marche;12.732999999999999;43.517;574;Marche
aeronautica_6826;Campobasso;molise;14.650000000000002;41.56699999999999;807;Molise
aeronautica_6812;Termoli;molise;14.999999999999996;41.99999999999999;44;Molise
aeronautica_6707;Torino/Caselle;piemonte;7.650000000000001;45.21699999999999;287;Piemonte
aeronautica_6710;Novara/Cameri;piemonte;8.667;45.516999999999996;169;Piemonte
aeronautica_6709;Torino/Bric Della C;piemonte;7.733;45.033;710;Piemonte
aeronautica_6851;Gioia Del Colle;puglia;16.933;40.766999999999996;350;Puglia
aeronautica_6828;Monte S. Angelo;puglia;15.950000000000001;41.7;844;Puglia
aeronautica_6834;Amendola;puglia;15.716999999999997;41.533;60;Puglia
aeronautica_6839;Bari/Palese Macchie;puglia;16.783;41.133;49;Puglia
aeronautica_6856;Brindisi;puglia;17.95;40.650000000000006;10;Puglia
aeronautica_6857;Grottaglie;puglia;17.4;40.517;69;Puglia
aeronautica_6858;Marina Di Ginosa;puglia;16.882999999999996;40.433;12;Puglia
aeronautica_6859;Lecce;puglia;18.15;40.23299999999999;61;Puglia
aeronautica_6869;S. Maria Di Leuca;puglia;18.35;39.81699999999999;112;Puglia
aeronautica_6906;Alghero;sardegna;8.283;40.632999999999996;40;Sardegna
aeronautica_6910;Olbia/Costa Smerald;sardegna;9.517;40.900000000000006;13;Sardegna
aeronautica_6914;Capo Frasca;sardegna;8.467;39.75;95;Sardegna
aeronautica_6919;Decimomannu;sardegna;8.967;39.349999999999994;28;Sardegna
aeronautica_6922;Capo Bellavista;sardegna;9.717;39.93299999999999;150;Sardegna
aeronautica_6923;Cagliari/Elmas;sardegna;9.067;39.249999999999986;5;Sardegna
aeronautica_6925;Capo Carbonara;sardegna;9.517;39.099999999999994;118;Sardegna
aeronautica_6884;Prizzi;sicilia;13.433;37.717;1035;Sicilia
aeronautica_6874;Ustica;sicilia;13.183;38.7;251;Sicilia
aeronautica_6876;Palermo/Punta Raisi;sicilia;13.1;38.183;21;Sicilia
aeronautica_6881;Messina;sicilia;15.549999999999997;38.199999999999996;51;Sicilia
aeronautica_6883;Trapani/Birgi;sicilia;12.500000000000002;37.917;14;Sicilia
aeronautica_6889;Gela;sicilia;14.216999999999999;37.083;65;Sicilia
aeronautica_6891;Catania/Sigonella;sicilia;14.916999999999996;37.4;22;Sicilia
aeronautica_6893;Catania/Fontanaross;sicilia;15.050000000000002;37.467;17;Sicilia
aeronautica_6897;Pantelleria;sicilia;11.966999999999999;36.81699999999999;170;Sicilia
aeronautica_6901;Cozzo Spadaro;sicilia;15.133;36.683;51;Sicilia
aeronautica_6777;Firenze/Peretola;toscana;11.2;43.8;38;Toscana
aeronautica_6779;Arezzo;toscana;11.849999999999998;43.467;249;Toscana
aeronautica_6776;Monte Argentario;toscana;11.167;42.382999999999996;631;Toscana
aeronautica_6790;M. Calamita;toscana;10.400000000000002;42.733;397;Toscana
aeronautica_6773;Pisa/S. Giusto;toscana;10.383;43.68299999999999;6;Toscana
aeronautica_6794;Grosseto;toscana;11.067;42.75;7;Toscana
aeronautica_6686;S. Valentino Alla M;trentino-alto adige;10.533;46.75000000000001;1461;Trentino-Alto Adige
aeronautica_6687;Resia Pass;trentino-alto adige;10.5;46.833;1800;Trentino-Alto Adige
aeronautica_6693;Dobbiaco;trentino-alto adige;12.217000000000002;46.73299999999999;1226;Trentino-Alto Adige
aeronautica_6690;Bolzano;trentino-alto adige;11.333;46.467;241;Trentino-Alto Adige
aeronautica_6691;Passo Rolle;trentino-alto adige;11.782999999999998;46.29999999999998;2006;Trentino-Alto Adige
aeronautica_6692;Paganella;trentino-alto adige;11.032999999999998;46.14999999999999;2129;Trentino-Alto Adige
aeronautica_6784;Perugia;umbria;12.5;43.083000000000006;205;Umbria
aeronautica_6703;Pian Rosa;valle d'aosta;7.699999999999999;45.933;3488;Valle D'aosta
aeronautica_6723;Verona/Villafranca;veneto;10.867;45.38300000000001;68;Veneto
aeronautica_6729;Treviso/Istrana;veneto;12.099999999999998;45.682999999999986;46;Veneto
aeronautica_6730;Treviso/S. Angelo;veneto;12.182999999999998;45.65;23;Veneto
aeronautica_6733;Venezia/Tessera;veneto;12.332999999999998;45.49999999999999;6;Veneto
